Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
19/02/2019,1971.75,1971.75,1895,1904.85,1927.5,173030,7153,333514812,46777,27.03,76.75,-66.9
18/02/2019,2035,2044.1,1965.6,1971.75,1984.08,103574,4610,205499059,41347,39.92,78.5,-63.25
15/02/2019,2045,2052,2013,2030.9,2031.95,69676,3141,141577909,13632,19.56,39,-14.1
14/02/2019,2064,2075,2033.15,2044.65,2050.9,40054,2346,82146607,10172,25.4,41.85,-19.35
13/02/2019,2057,2082.75,2050.65,2068.6,2064.24,210280,4392,434067941,143997,68.48,32.1,11.6
12/02/2019,2070,2077,2020.35,2050.65,2043.34,88124,4670,180067670,21701,24.63,56.65,-19.35
11/02/2019,2062,2093.45,2051.05,2065.55,2075.8,70084,3357,145480493,14551,20.76,42.4,3.55
08/02/2019,2078,2088.25,2054,2062.75,2082.53,856235,2882,1783135982,790434,92.32,34.25,-15.25
07/02/2019,2079.4,2097.8,2069.5,2079.9,2083.33,94880,3867,197666302,36271,38.23,28.3,0.5
06/02/2019,2052,2086,2040.4,2077.85,2066.18,355138,3807,733777328,290618,81.83,45.6,25.85
05/02/2019,2049,2054.75,2028.05,2044.35,2042.75,71284,2876,145615663,19421,27.24,26.7,-4.65
04/02/2019,2030,2051,2018.3,2047.15,2039.09,82381,3148,167982085,22564,27.39,32.7,17.15
01/02/2019,2005,2035,1998.3,2030.75,2022.41,112449,4549,227417754,22975,20.43,36.7,25.75
31/01/2019,1988,2019.5,1985.05,2014.6,2006.35,145616,10664,292156858,61344,42.13,34.45,26.6
30/01/2019,1983.15,1983.95,1955.1,1977.85,1973.35,102628,4634,202520498,30755,29.97,28.85,-5.3
29/01/2019,1956,1989.8,1937.3,1983.15,1962.17,126943,5389,249083632,37245,29.34,52.5,27.15
28/01/2019,1931.7,1958,1929.55,1951.95,1947.37,146761,6046,285798500,45972,31.32,28.45,20.25
25/01/2019,1904.4,1933.45,1900.75,1919.05,1920.73,97696,4731,187647872,23765,24.33,32.7,14.65
24/01/2019,1882,1904.5,1876,1901.75,1894.63,83595,3268,158381733,33937,40.6,28.5,19.75
23/01/2019,1900,1907.7,1874,1879.75,1883.72,64588,3027,121665705,16349,25.31,33.7,-20.25
22/01/2019,1908,1918.2,1890.7,1900.35,1903.31,85612,3839,162946237,27666,32.32,27.5,-7.65
21/01/2019,1900.4,1931.3,1896.55,1905.8,1917.11,145868,5952,279644770,45795,31.39,34.75,5.4
18/01/2019,1887,1904.45,1877.3,1900.4,1891.42,75507,3592,142815494,26786,35.47,27.15,13.4
17/01/2019,1871,1899,1871,1895.1,1887.93,138166,6277,260847342,51023,36.93,28,24.1
16/01/2019,1869.95,1874.8,1848.55,1870.1,1862.82,105630,4274,196769157,21307,20.17,26.25,0.15
15/01/2019,1813.55,1868,1809.55,1864.2,1847.76,180669,8717,333832526,47074,26.06,58.45,50.65
14/01/2019,1854.7,1854.85,1810.5,1814.4,1818.44,170020,10538,309170710,67588,39.75,44.35,-40.3
11/01/2019,1875,1876.05,1836.1,1841.95,1848.48,530631,26351,980859789,142980,26.95,39.95,-33.05
10/01/2019,1904,1906.8,1874.1,1888.15,1893.43,157549,8638,298307250,35172,22.32,32.7,-15.85
09/01/2019,1915,1919,1869.05,1887.8,1895.87,156721,5261,297123338,38750,24.73,49.95,-27.2
08/01/2019,1902,1908,1884,1893.05,1892.6,84481,3571,159888851,20820,24.64,24,-8.95
07/01/2019,1891.1,1909,1880.25,1896.65,1894.04,98867,4087,187258096,31343,31.7,28.75,5.55
04/01/2019,1901,1901.05,1841.5,1873.95,1867.71,320877,12058,599305454,77748,24.23,59.55,-27.05
03/01/2019,1913.5,1944,1891.7,1896.45,1914.16,155018,5675,296729201,47656,30.74,52.3,-17.05
02/01/2019,1907.9,1933,1900.55,1923.15,1921.3,145042,5128,278669556,31796,21.92,32.45,15.25
01/01/2019,1905,1909,1885.1,1902.35,1899.9,144685,2800,274887129,90664,62.66,23.9,-2.65
